No,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate per 100.000 Penduduk,Meninggal,CFR (%)
1,Aceh,5599952,2176,38.86,27,1.24
2,Sumatera Utara,15257842,4578,30.00,22,0.48
3,Sumatera Barat,5739147,1929,33.61,13,0.67
4,Riau,7295829,2153,29.51,22,1.02
5,Jambi,3713311,1413,38.05,14,0.99
6,Sumatera Selatan,8902406,2983,33.51,21,0.70
7,Bengkulu,2059421,926,44.96,17,1.84
8,Lampung,8754570,2181,24.91,8,0.37
9,Kepulauan Bangka Belitung,1524567,1331,87.30,18,1.35
10,Kepulauan Riau,2521306,730,28.95,5,0.68
11,DKI Jakarta,10775080,3908,36.27,0,0.00
12,Jawa Barat,51172130,19328,37.77,134,0.69
13,Jawa Tengah,35258144,6659,18.89,143,2.15
14,DI Yogyakarta,4073907,700,17.18,3,0.43
15,Jawa Timur,40530954,9401,23.19,103,1.10
16,Banten,13427073,4154,30.94,18,0.43
17,Bali,4570684,7099,155.32,19,0.27
18,Nusa Tenggara Barat,5441327,3458,63.55,25,0.72
19,Nusa Tenggara Timur,5735959,2653,46.25,15,0.57
20,Kalimantan Barat,5276672,9003,170.62,99,1.10
21,Kalimantan Tengah,2792790,4834,173.09,30,0.62
22,Kalimantan Selatan,4420513,3072,69.49,19,0.62
23,Kalimantan Timur,3795636,5592,147.33,25,0.45
24,Kalimantan Utara,747125,985,131.84,8,0.81
25,Sulawesi Utara,2565018,2643,103.04,30,1.14
26,Sulawesi Tengah,3198320,1804,56.40,9,0.50
27,Sulawesi Selatan,9086997,2701,29.72,8,0.30
28,Sulawesi Tenggara,2822613,1574,55.76,14,0.89
29,Gorontalo,1214587,683,56.23,7,1.02
30,Sulawesi Barat,1433233,1192,83.17,4,0.34
31,Maluku,1841492,262,14.23,3,1.15
32,Maluku Utara,1301836,801,61.53,4,0.50
33,Papua,878699,220,25.04,0,0.00
34,Papua Barat,491895,917,186.42,6,0.65
35,Papua Selatan,515717,0,0.00,0,0.00
36,Papua Tengah,1017614,677,66.53,1,0.15
37,Papua Pegunungan,1080522,0,0.00,0,0.00
38,Papua Barat Daya,539781,0,0.00,0,0.00
Total,Indonesia,277374669,114720,41.36,894,0.78
